Date,TIME,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
06-04-2016 00:00,14:10:00,1424.6,1427,1424.15,1424.5,136,2395
06-04-2016 00:00,14:15:00,1424.5,1425.75,1423.75,1425,57,1906
06-04-2016 00:00,14:20:00,1425.45,1427,1424.1,1427,59,2540
06-04-2016 00:00,14:25:00,1427.65,1429,1426.05,1428.95,88,8082
06-04-2016 00:00,14:30:00,1429,1429,1427.75,1429,82,6707
06-04-2016 00:00,14:35:00,1427.7,1428.85,1427,1427,69,1795
06-04-2016 00:00,14:40:00,1427.2,1428.5,1425.9,1427.05,62,1398
06-04-2016 00:00,14:45:00,1427,1428,1425.3,1425.3,103,2913
06-04-2016 00:00,14:50:00,1425.3,1429,1425.3,1426.9,110,7919
06-04-2016 00:00,14:55:00,1426.9,1429,1426.6,1428.25,118,8487
06-04-2016 00:00,15:00:00,1428.05,1429,1426.85,1428.3,116,3460
06-04-2016 00:00,15:05:00,1428.1,1429.25,1427.5,1428.7,147,12186
06-04-2016 00:00,15:10:00,1428.85,1429,1425.5,1427,172,8241
06-04-2016 00:00,15:15:00,1426.8,1429.85,1425.9,1427,230,10391
06-04-2016 00:00,15:20:00,1427,1430,1425.75,1427.85,235,11789
06-04-2016 00:00,15:25:00,1427.7,1428.9,1425,1425,236,11774
07-04-2016 00:00,09:15:00,1424.95,1425.35,1418.9,1424.55,182,6121
07-04-2016 00:00,09:20:00,1423.5,1430,1421.75,1425.6,187,7129
07-04-2016 00:00,09:25:00,1426.75,1428.15,1425.95,1426.9,96,4159
07-04-2016 00:00,09:30:00,1426.95,1427.45,1424.25,1424.85,87,2922
07-04-2016 00:00,09:35:00,1425.05,1425.95,1416.3,1418.05,146,5289
07-04-2016 00:00,09:40:00,1419.45,1419.95,1412.95,1417,170,8637
07-04-2016 00:00,09:45:00,1416.8,1420.5,1415.45,1417.9,241,6289
07-04-2016 00:00,09:50:00,1416.7,1423.5,1416.7,1422.25,167,3976
07-04-2016 00:00,09:55:00,1421.95,1422.75,1418.6,1421.9,68,1209
07-04-2016 00:00,10:00:00,1421.95,1422,1420.15,1421.4,44,870
07-04-2016 00:00,10:05:00,1419.8,1421.1,1417.45,1418.25,51,1938
07-04-2016 00:00,10:10:00,1417.05,1419.85,1416.45,1419,138,2340
07-04-2016 00:00,10:15:00,1418.5,1420,1418.3,1419.7,56,1057
07-04-2016 00:00,10:20:00,1418.6,1422.85,1418.6,1422,59,2753
07-04-2016 00:00,10:25:00,1421.1,1426,1420.35,1425.4,104,2634
07-04-2016 00:00,10:30:00,1426.2,1426.2,1423,1424.85,63,612
07-04-2016 00:00,10:35:00,1425,1426.75,1424.3,1426,45,1614
07-04-2016 00:00,10:40:00,1425.95,1426.95,1424.25,1425.9,48,1031
07-04-2016 00:00,10:45:00,1425.75,1433.4,1424.95,1433.4,173,8902
07-04-2016 00:00,10:50:00,1433.35,1434,1431,1432,184,4336
07-04-2016 00:00,10:55:00,1432,1433.35,1431,1431,74,1454
07-04-2016 00:00,11:00:00,1431.3,1432,1428.05,1429,80,2039
07-04-2016 00:00,11:05:00,1428,1431,1428,1431,68,2068
07-04-2016 00:00,11:10:00,1431,1431.5,1427.75,1429.2,58,25419
07-04-2016 00:00,11:15:00,1429,1431,1429,1430.65,55,1762
07-04-2016 00:00,11:20:00,1430.6,1430.6,1429,1429.95,57,1099
07-04-2016 00:00,11:25:00,1429.85,1429.9,1428,1428,50,1332
07-04-2016 00:00,11:30:00,1428.75,1430.4,1427.7,1428,56,1338
07-04-2016 00:00,11:35:00,1429.65,1432.4,1429.1,1430.45,194,3632
07-04-2016 00:00,11:40:00,1429,1431,1427.7,1427.7,125,2098
07-04-2016 00:00,11:45:00,1427.7,1430,1427.05,1429.9,36,599
07-04-2016 00:00,11:50:00,1429.9,1430,1428.5,1429.05,39,649
07-04-2016 00:00,11:55:00,1429.55,1430,1425.15,1425.5,328,10905
07-04-2016 00:00,12:00:00,1425.5,1428.9,1425.1,1427,66,2767
07-04-2016 00:00,12:05:00,1427,1427.5,1423,1424.9,80,2651
07-04-2016 00:00,12:10:00,1424.5,1425,1423.05,1424.8,49,657
07-04-2016 00:00,12:15:00,1424.95,1428.15,1424.95,1426.7,42,962
07-04-2016 00:00,12:20:00,1426.7,1427.25,1425,1425.75,53,594
07-04-2016 00:00,12:25:00,1425.65,1426.85,1425.55,1426.15,17,95
07-04-2016 00:00,12:30:00,1426,1426.15,1423.9,1425.35,45,760
07-04-2016 00:00,12:35:00,1425,1425.95,1423,1424.7,36,574
07-04-2016 00:00,12:40:00,1424.8,1424.8,1423.4,1423.5,146,937
07-04-2016 00:00,12:45:00,1423.5,1423.8,1420,1421.35,445,8097
07-04-2016 00:00,12:50:00,1421.35,1425.7,1421.35,1425.7,67,1849
07-04-2016 00:00,12:55:00,1425.05,1428,1424.55,1427.55,49,2045
07-04-2016 00:00,13:00:00,1426.6,1428.5,1425.25,1428,104,1082
07-04-2016 00:00,13:05:00,1426.4,1426.75,1424.5,1424.5,43,274
07-04-2016 00:00,13:10:00,1424.3,1425.5,1423.7,1424.45,31,819
07-04-2016 00:00,13:15:00,1425,1427.2,1425,1426,29,446
07-04-2016 00:00,13:20:00,1425.85,1426.95,1423,1426.95,30,308
07-04-2016 00:00,13:25:00,1425.75,1426.5,1425,1426.5,29,234
07-04-2016 00:00,13:30:00,1426.5,1426.8,1424.65,1424.65,28,471
07-04-2016 00:00,13:35:00,1425.95,1426.8,1425.8,1426.8,27,197
07-04-2016 00:00,13:40:00,1426.2,1427.7,1425.6,1427.7,25,607
07-04-2016 00:00,13:45:00,1427,1429.55,1426.75,1428.5,66,1287
07-04-2016 00:00,13:50:00,1427,1429.4,1424.9,1427.9,41,536
07-04-2016 00:00,13:55:00,1427,1427,1425.55,1426,34,978
07-04-2016 00:00,14:00:00,1425.5,1425.5,1422.15,1424.95,47,1325
07-04-2016 00:00,14:05:00,1425,1426.55,1423.9,1425.5,26,344
07-04-2016 00:00,14:10:00,1425.7,1426.7,1424.85,1425.85,33,468
07-04-2016 00:00,14:15:00,1424,1425,1423,1423.85,57,1186
07-04-2016 00:00,14:20:00,1423.75,1424.55,1420.9,1423,31,461
07-04-2016 00:00,14:25:00,1423.65,1424.8,1422,1422.4,29,410
07-04-2016 00:00,14:30:00,1422.75,1424.05,1421.8,1424,28,567
07-04-2016 00:00,14:35:00,1424,1427,1418,1423.15,78,2740
07-04-2016 00:00,14:40:00,1423.15,1424.45,1420,1422.7,54,645
07-04-2016 00:00,14:45:00,1423.3,1424,1421.05,1423.5,56,901
